Temperature,Light Hours,Strain,Colony Info,Sample Name,Microtube wt + Beads + WET Larvae,Microtube Wt + Beads,Microtube + Beads + DRY Larvae,Microtube + Beads + LEAN Larva,TV wt ,TV mass + DRY Lipids,Lipid Conc in 3mL DCM (g/mL),0.003g/1mL Dilution for 200uL,DCM for 200mL,Internal Standard,DRY Larva,WET Larva ,Lean Mass,Lipid Mass
23,Summer,UZ,"UZ16,23",0605-13,1.8933,1.7866,1.8184,1.8078,15.1915,15.2062,0.0049,122,78,,,,,
23,Summer,UZ,"UZ16,23",0605-14,1.8584,1.7708,1.7976,1.7897,15.0343,15.0492,0.005,121,79,,,,,
23,Summer,UZ,"UZ16,23",0605-15,1.8423,1.7691,1.7899,1.7841,14.9573,15.0105,0.0177,34,166,,,,,
23,Summer,UZ,"UZ16,23",0605-16,1.8691,1.7739,1.8017,1.7923,15.0517,15.0927,0.0137,44,156,,,,,
23,Summer,UZ,"UZ16,23",0605-17,1.8276,1.7406,1.7678,1.7579,15.1964,15.2531,0.0189,32,168,,,,,
23,Summer,UZ,"UZ16,23",0605-18,1.8673,1.7913,1.8134,1.808,15.0303,15.0825,0.0174,34,166,,,,,
23,Summer,UZ,"UZ16,23",0605-19,1.9454,1.8631,1.8888,1.8802,15.0168,15.0518,0.0117,51,149,,,,,
23,Summer,UZ,"UZ16,23",0605-20,1.805,1.7202,1.7453,1.7369,15.144,15.1845,0.0135,44,156,,,,,
23,Summer,UZ,"UZ16,23",0605-21,1.9088,1.8034,1.8348,1.825,15.086,15.1028,0.0056,107,93,,,,,
23,Summer,UZ,"UZ16,23",0605-22,1.8175,1.7043,1.7424,1.7271,14.7119,14.761,0.0164,37,163,,,,,
23,Summer,UZ,"UZ16,23",0605-23,1.9202,1.8169,1.8485,1.8374,15.1761,15.2238,0.0159,38,162,,,,,
23,Summer,UZ,"UZ16,23",0605-24,1.8994,1.8031,1.8348,1.8238,15.0935,15.1233,0.0099,60,140,,,,,
23,Summer,UZ,"UZ16,23",0605-25,1.8773,1.7622,1.801,1.7864,15.2276,15.2481,0.0068,88,112,,,,,
23,Summer,UZ,"UZ16,23",0607-01,2.0279,1.971,1.9901,1.9925,15.1122,15.1239,0.0039,154,46,,0.0191,0.0569,0.0215,0.0117
23,Summer,UZ,"UZ16,23",0607-02,1.8828,1.8149,1.8381,1.8385,15.1285,15.1405,0.004,150,50,,0.0232,0.0679,0.0236,0.0120
23,Summer,UZ,"UZ16,23",0607-03,1.8718,1.7915,1.8192,1.8182,15.1684,15.1835,0.005,119,81,,0.0277,0.0803,0.0267,0.0151
23,Summer,UZ,"UZ16,23",0607-04,1.9465,1.8874,1.9086,1.9116,14.7137,14.7254,0.0039,154,46,,0.0212,0.0591,0.0242,0.0117
23,Summer,UZ,"UZ16,23",0607-05,1.9181,1.858,1.8796,1.8797,15.1236,15.1367,0.0044,137,63,,0.0216,0.0601,0.0217,0.0131
23,Summer,UZ,"UZ16,23",0607-06,1.8919,1.8295,1.8501,,,,0,#DIV/0!,#DIV/0!,,0.0206,0.0624,,
23,Summer,UZ,"UZ16,23",0607-07,2.0606,1.9839,2.013,,,,0,#DIV/0!,#DIV/0!,,0.0291,0.0767,,
23,Summer,UZ,"UZ16,23",0607-08,2.1742,2.0905,2.12,,,,0,#DIV/0!,#DIV/0!,,0.0295,0.0837,,
23,Summer,UZ,"UZ16,23",0608-01,2.0749,2.0167,2.0381,,,,0,#DIV/0!,#DIV/0!,,0.0214,0.0582,,
23,Summer,UZ,"UZ16,23",0608-02,1.9108,1.8424,1.8662,,,,0,#DIV/0!,#DIV/0!,,0.0238,0.0684,,
23,Summer,UZ,"UZ16,23",0608-03,2.0328,1.9874,2.0094,,,,0,#DIV/0!,#DIV/0!,,0.0220,0.0454,,
23,Summer,UZ,"UZ16,23",0608-04,2.0328,1.9716,1.9926,,,,0,#DIV/0!,#DIV/0!,,0.0210,0.0612,,
23,Summer,UZ,"UZ16,23",0608-05,1.984,1.9229,1.9431,,,,0,#DIV/0!,#DIV/0!,,0.0202,0.0611,,
23,Summer,UZ,"UZ16,23",0608-06,2.1715,2.0993,2.1237,,,,0,#DIV/0!,#DIV/0!,,0.0244,0.0722,,
23,Summer,UZ,"UZ16,23",0608-07,2.2375,2.1589,2.184,,,,0,#DIV/0!,#DIV/0!,,0.0251,0.0786,,
23,Summer,UZ,"UZ16,23",0608-08,2.0966,2.0235,2.0551,2.0416,15.2084,15.221,0.0042,143,57,W/ 193UL OF 2.56MG/ML TRIHEP,0.0316,0.0731,0.0181,0.0126
23,Summer,UZ,"UZ16,23",0608-09,1.959,1.9362,2.0011,1.9556,15.2414,15.2552,0.0046,130,70,W/ 193UL OF 2.56MG/ML TRIHEP,0.0649,0.0228,0.0194,0.0138
23,Summer,UZ,"UZ16,23",0608-10,1.9287,1.8693,1.8896,1.8894,15.2092,15.213,0.0013,474,-274,W/ 193UL OF 2.56MG/ML TRIHEP,0.0203,0.0594,0.0201,0.0038
23,Summer,UZ,"UZ16,23",0610-01,2.1085,2.0343,2.0626,2.0559,15.2065,15.2116,0.0017,353,-153,W/ 193UL OF 2.56MG/ML TRIHEP,0.0283,0.0742,0.0216,0.0051
23,Summer,UZ,"UZ16,23",0610-02,2.0462,1.9853,2.0061,2.0055,15.1328,15.144,0.0037,161,39,W/ 193UL OF 2.56MG/ML TRIHEP,0.0208,0.0609,0.0202,0.0112
23,Summer,UZ,"UZ16,23",0610-03,1.9517,1.8793,1.9023,1.901,15.2645,15.2787,0.0047,127,73,W/ 193UL OF 2.56MG/ML TRIHEP,0.0230,0.0724,0.0217,0.0142
23,Summer,UZ,"UZ16,23",0610-04,2.0312,1.933,1.9677,1.9612,15.3097,15.3287,0.0063,95,105,W/ 193UL OF 2.56MG/ML TRIHEP,0.0347,0.0982,0.0282,0.0190
23,Summer,UZ,"UZ16,23",0610-05,1.8472,1.7576,1.7904,1.7829,14.8646,14.8726,0.0027,225,-25,W/ 193UL OF 2.56MG/ML TRIHEP,0.0328,0.0896,0.0253,0.0080
23,Summer,UZ,"UZ16,23",0610-06,2.0296,1.9574,1.9821,1.9787,15.2553,15.2694,0.0047,128,72,W/ 193UL OF 2.56MG/ML TRIHEP,0.0247,0.0722,0.0213,0.0141
23,Summer,UZ,"UZ16,23",0610-07,2.031,1.9386,1.9738,1.9668,15.2403,15.2576,0.0058,104,96,W/ 193UL OF 2.56MG/ML TRIHEP,0.0352,0.0924,0.0282,0.0173
,,,"BE16,23",0621-Blank 0731,1.7066,1.7066,1.7066,1.7096,14.8664,14.8694,0,#DIV/0!,#DIV/0!,,,,,
,,,"BE16,23",0622-Blank 0802,1.8488,1.8488,1.8488,1.8528,14.8786,14.8806,0,#DIV/0!,#DIV/0!,,,,,
,,,Percent Yield Blank,Percent Yield Blank,1.9841,1.9841,1.9841,1.9885,14.817,14.8199,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ12,23",0610-Blank 0719,,,,2.0239,15.0887,15.0899,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ12,23",0611-Blank 0724,1.9338,1.9338,1.9338,1.9389,15.1087,15.1099,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ12,23",0611-Blank 0726,1.9073,1.9073,1.9073,1.9118,14.9455,14.9461,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ12,23",0613-Blank,1.9427,1.9427,1.9427,1.9512,15.1105,15.1137,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ16,23",0607-blank 0628,1.8423,1.8423,1.8423,1.853,15.1317,15.1501,0,#DIV/0!,#DIV/0!,,,,,
,,,"UZ16,23",0610-Blank 0712,2.0443,2.0443,2.0443,2.0526,14.9998,15.0015,0,#DIV/0!,#DIV/0!,W/ 193UL OF 2.56MG/ML TRIHEP,,,,
